university_id;association_id;registration_date;fee;name;foundation_date;designation;objective;graduate_id;obs
134;55;27/09/2024;531;Jones Group;4/9/2024;Global Business Education Association;Promote arts and humanities collaboration;;
368;623;26/11/2023;255;Norton-Blankenship;29/08/2023;International Engineering Scholars Federation;Strengthen global health research;;
186;917;26/10/2023;3709;Johnson-Johnson;1/2/2022;World Health Sciences Academic Network;Support climate change mitigation research;;
98;506;5/8/2021;2728;Fuentes Group;23/07/2021;International Law and Policy Consortium;Develop sustainable agriculture initiatives;;
486;985;19/06/2025;1867;Poole-Garcia;26/05/2025;Global Arts and Culture University Alliance;Promote renewable energy education;5;until
381;549;1/10/2023;2278;Jensen Group;15/02/2022;International Computing Research Society;Enhance cybersecurity awareness in academia;;
386;980;16/02/2022;397;Suarez, Martinez and Bell;9/2/2022;European Digital Innovation Council;Support AI ethics research;198;involve
258;881;14/02/2023;1890;Williams, Powell and Marsh;7/2/2023;Global Environmental Studies Association;Advance digital transformation in universities;;
78;810;30/12/2024;268;Wheeler, Bailey and Rodriguez;5/10/2024;International Biotechnology Scholars Network;Promote responsible data governance;;
420;519;28/05/2024;610;Randolph-Johnson;5/3/2024;World Linguistics and Communication Forum;Support open?science policy development;74;offer
420;519;27/04/2024;610;Randolph-Johnson;5/3/2024;World Linguistics and Communication Forum;Support open?science policy development;152;number
422;883;11/4/2025;630;Arnold, Hicks and Jones;19/01/2025;International Economics and Finance Council;Strengthen academic integrity standards;;
462;989;3/7/2021;4507;Romero Ltd;30/04/2021;Global Architecture and Design Collective;Develop global accreditation frameworks;51;increase
224;537;5/6/2025;2604;Simpson, Stokes and Keller;11/5/2022;International Physics Collaboration Network;Promote student leadership development;;
422;737;3/3/2025;252;Arnold, Hicks and Jones;19/01/2025;World Mathematics Advancement Society;Support mental health initiatives on campuses;;
301;869;20/10/2025;467;James PLC;31/08/2025;International Social Sciences Partnership;Enhance campus safety programs;;
1;505;2/11/2024;407;Adams and Sons;12/8/2024;Global Education Policy Research Forum;Promote inclusive learning environments;58;million
22;90;22/05/2021;1338;Delgado-Brown;29/04/2021;International Robotics and Automation League;Support disability inclusion in higher education;;
337;526;22/07/2023;1523;Cervantes-Singleton;13/05/2023;World Renewable Energy Academic Network;Advance women’s leadership in academia;;
246;950;8/3/2024;2146;Butler PLC;24/12/2023;International Neuroscience Scholars Group;Promote LGBTQ+ inclusion in universities;70;crime
246;950;24/01/2024;2146;Butler PLC;24/12/2023;International Neuroscience Scholars Group;Promote LGBTQ+ inclusion in universities;96;suggest
412;398;15/06/2025;4871;Hendricks, Thomas and Lowery;30/05/2025;Global Public Policy University Alliance;Strengthen indigenous education initiatives;;
462;764;30/12/2025;4345;Romero Ltd;30/04/2021;International Chemistry Research Consortium;Support global citizenship education;51;increase
64;287;7/9/2023;2006;Berg-Hill;7/8/2023;World Agricultural Sciences Association;Promote peace and conflict resolution studies;42;each
64;287;19/08/2023;2006;Berg-Hill;7/8/2023;World Agricultural Sciences Association;Promote peace and conflict resolution studies;169;reach
423;444;10/11/2025;1989;Wallace-Thompson;22/10/2025;International Data Science Scholars Network;Enhance international internship programs;;
496;214;4/6/2024;3395;Dunn, Scott and Spencer;24/03/2024;Global Cybersecurity Academic Forum;Support experiential learning initiatives;;
91;267;3/7/2024;3547;Li Inc;4/4/2024;International Marine Studies Consortium;Develop global service?learning programs;;
264;987;24/04/2025;1311;Reid, Cross and Smith;7/2/2025;World Space Research University Network;Promote entrepreneurship education;;
164;209;23/06/2023;2802;White, Rocha and Ferguson;11/4/2023;International Urban Development Council;Support university?industry partnerships;97;politics
482;782;22/09/2023;3012;Berry Group;24/04/2023;Global Hospitality and Tourism Education Alliance;Advance technology transfer initiatives;;
200;104;21/06/2022;2524;Hamilton, Martinez and Wood;1/4/2022;World Space Research University Network;Strengthen innovation ecosystems;95;our
144;171;10/7/2021;4430;Fischer, Weber and Marsh;26/04/2021;International Environmental Policy Forum;Promote sustainable urban development research;;
119;849;19/10/2024;330;Travis, Rocha and Wilkins;8/8/2024;World Artificial Intelligence Academic Coalition;Support water sustainability initiatives;27;end
119;849;1/9/2024;330;Travis, Rocha and Wilkins;8/8/2024;World Artificial Intelligence Academic Coalition;Support water sustainability initiatives;57;response
433;234;12/10/2025;1325;Moore and Sons;24/08/2025;International Biomedical Engineering Society;Advance biodiversity conservation research;92;research
194;115;1/11/2025;336;Rose, Larson and Miller;10/4/2022;Global Oceanography Research Alliance;Support climate change mitigation research;;
380;798;8/10/2022;3342;Spears-Hernandez;23/09/2022;International Cultural Studies Association;Promote marine science collaboration;88;trade
380;798;12/10/2022;3342;Spears-Hernandez;23/09/2022;International Cultural Studies Association;Promote marine science collaboration;105;technology
358;604;14/12/2023;4942;Conley Inc;15/11/2023;World Peace and Conflict Studies Network;Support space science research initiatives;87;store
113;385;25/03/2022;156;Torres-Washington;2/1/2022;International Renewable Materials Consortium;Enhance global public health preparedness;;
131;314;25/02/2023;3000;Bell, Berger and Parrish;7/2/2022;Global Veterinary Sciences Association;Promote epidemiology research collaboration;;
363;371;28/10/2023;2435;Hernandez-Marsh;22/08/2023;International Planetary Science Forum;Support mental health research;;
216;406;6/6/2025;1622;Curry PLC;9/6/2024;World Digital Humanities Collective;Advance neuroscience research initiatives;;
395;940;9/4/2024;2279;Garza Inc;31/03/2024;International Quantum Computing Society;Promote cross?disciplinary problem?solving;;
226;757;8/9/2023;2570;Phillips, Curtis and Osborne;11/8/2023;Global Nanotechnology Research Network;Support open educational resources;;
62;59;30/01/2025;4255;Brooks, Sanders and Allen;30/11/2023;International Public Health Scholars Forum;Enhance digital literacy education;;
486;971;20/06/2025;3027;Poole-Garcia;26/05/2025;World Transportation Engineering Council;Promote computational thinking in schools;5;until
116;595;31/12/2021;3351;Higgins, Potts and Harris;24/11/2021;International Education Innovation League;Support teacher training programs;;
345;769;21/06/2025;3658;Sanders, Clayton and Williams;10/7/2021;Global Linguistic Diversity Association;Advance early childhood education research;161;too
345;769;21/06/2025;3658;Sanders, Clayton and Williams;10/7/2021;Global Linguistic Diversity Association;Advance early childhood education research;175;little
125;799;27/06/2024;1355;Smith-Carter;22/05/2024;International Sports Science Federation;Promote literacy development initiatives;;
112;314;28/10/2025;2429;Brown-Wong;28/06/2021;Global Veterinary Sciences Association;Promote epidemiology research collaboration;84;training
379;972;31/12/2022;3246;Murphy-Molina;24/10/2022;World Climate Adaptation Research Group;Support numeracy education programs;185;similar
88;22;21/07/2024;2398;Garcia Inc;13/01/2022;International Sociology Scholars Network;Enhance special education research;;
312;121;9/1/2024;1768;Bishop Inc;24/12/2023;Global Anthropology Research Collective;Promote gifted education initiatives;;
371;593;24/11/2023;710;Riley, Roy and Mendoza;9/9/2022;International Musicology Association;Support multilingual learning environments;;
47;663;4/7/2025;4372;Lewis, Dean and Mccall;18/02/2024;World Philosophy and Ethics Forum;Advance adult education programs;;
419;717;13/12/2025;2143;Martinez PLC;15/10/2022;International Political Science Alliance;Promote lifelong learning initiatives;;
411;518;18/05/2023;157;Kennedy, Chavez and Welch;20/03/2022;Global Journalism and Media Studies Network;Support workforce development research;178;answer
319;513;30/01/2026;2390;Hayes and Sons;1/1/2026;International Film and Visual Arts Society;Enhance executive education programs;;
70;101;18/11/2021;3368;Clark, Blake and Miller;31/10/2021;World Archaeology Research Consortium;Promote corporate training partnerships;;
409;353;15/11/2023;431;Romero-Kennedy;26/12/2022;International Architecture and Urbanism Forum;Support career development initiatives;;
352;127;11/3/2025;1184;Romero Inc;18/02/2022;Global Biotechnology Innovation Council;Advance employability research;196;law
110;966;20/12/2021;4582;Manning Group;5/11/2021;International Genetics Scholars Network;Promote future?of?work studies;142;industry
48;863;9/1/2025;706;Anderson and Sons;30/10/2022;World Hydrology and Water Systems Alliance;Support digital skills development;191;mission
382;858;31/10/2021;3213;Golden-King;15/09/2021;International Forestry and Ecology Forum;Enhance creativity and innovation education;;
304;261;28/03/2023;3623;Perez-Lee;20/10/2021;Global Wildlife Conservation Academic Network;Develop leadership training for academic staff;171;perform
196;583;6/3/2025;3170;Daniels Inc;19/12/2024;International Supply Chain Research Group;Promote critical thinking development;102;someone
196;583;22/01/2025;3170;Daniels Inc;19/12/2024;International Supply Chain Research Group;Promote critical thinking development;104;amount
215;964;1/7/2023;4231;Moore-Salas;5/6/2023;International Sociology Scholars Network;Strengthen global research infrastructure;106;report
430;822;2/12/2024;1217;Martinez-Lopez;18/12/2021;World Industrial Engineering Association;Support problem?solving education;;
231;872;3/8/2024;1386;Munoz Group;30/07/2024;International Aeronautics and Flight Sciences Council;Advance global university rankings transparency;;
287;821;14/10/2022;1024;Cummings Ltd;5/8/2022;Global Space Policy Research Network;Promote ethical academic publishing;1;past
287;821;14/10/2022;1024;Cummings Ltd;5/8/2022;Global Space Policy Research Network;Promote ethical academic publishing;183;then
175;278;18/10/2024;300;Brock LLC;29/06/2024;International Mathematics Education Society;Support research impact measurement;;
286;110;11/4/2024;4335;Perez-Johnson;4/2/2024;World Statistics and Data Analysis Forum;Enhance scholarly communication practices;;
117;257;14/11/2022;2702;Rogers LLC;14/05/2022;International Human Rights Academic Council;Promote open peer?review initiatives;;
288;757;1/9/2021;3270;Adams, Little and Davis;5/4/2021;Global Nanotechnology Research Network;Support open educational resources;;
151;16;25/04/2023;3022;Webb, Nelson and Moon;3/1/2022;Global Migration Studies Network;Support grant?writing training;3;course
151;16;25/04/2023;3022;Webb, Nelson and Moon;3/1/2022;Global Migration Studies Network;Support grant?writing training;48;first
151;16;25/04/2023;3022;Webb, Nelson and Moon;3/1/2022;Global Migration Studies Network;Support grant?writing training;170;by
346;360;14/07/2025;3735;Garza PLC;12/2/2025;International Demography Research Association;Advance research administration practices;;
455;824;17/01/2024;4087;Fuentes-Dominguez;4/1/2023;World Gender Studies Academic Forum;Promote postdoctoral development programs;193;success
35;279;11/2/2026;4191;Lyons Group;14/10/2024;International Child Development Scholars Network;Support graduate student success initiatives;;
9;823;16/05/2024;2869;Maldonado Group;19/10/2021;Global Gerontology Research Alliance;Enhance campus safety programs;68;tonight
77;85;1/5/2026;4391;Kim Group;31/01/2026;International Disaster Management Council;Enhance undergraduate research opportunities;;
392;456;10/5/2025;1276;Jackson Inc;9/3/2023;World Seismology and Earthquake Studies Network;Promote honors education programs;113;analysis
392;456;10/5/2025;1276;Jackson Inc;9/3/2023;World Seismology and Earthquake Studies Network;Promote honors education programs;167;sign
349;90;13/10/2025;251;Robbins PLC;6/10/2022;International Robotics and Automation League;Support disability inclusion in higher education;;
417;64;25/08/2022;1986;Gray, Dillon and Garcia;11/7/2022;International Volcanology Research Group;Support student government development;190;heavy
315;945;14/03/2025;4891;Lopez and Sons;9/1/2025;Global Mineral Resources Academic Forum;Advance student leadership training;;
376;903;13/09/2025;4612;Kelly PLC;30/07/2025;International Petroleum Engineering Society;Promote debate and public speaking skills;156;great
347;422;21/03/2025;3052;Kent, Erickson and Stone;24/01/2025;World Renewable Infrastructure Consortium;Support Model United Nations programs;;
275;606;6/4/2024;4171;Hodge and Sons;2/11/2023;International Energy Economics Council;Support Model United Nations programs;;
163;664;7/12/2025;1820;Harrington-Williamson;27/11/2025;Global Urban Planning Research Alliance;Enhance academic competition opportunities;;
233;58;4/4/2023;2011;Landry, Long and Maxwell;19/01/2023;International Transportation Policy Forum;Promote responsible data governance;;
40;240;15/05/2025;3467;Carey-Hansen;14/03/2025;World Logistics and Mobility Studies Network;Promote engineering student development;30;attack
66;605;8/4/2026;2060;Jackson, Fischer and Green;8/2/2026;International Hospitality Management Society;Support medical student research;;
243;106;13/06/2025;2576;Green-Rogers;10/6/2025;Global Tourism Research Collective;Advance law student education;63;knowledge
387;610;4/3/2025;1544;Rivera LLC;29/08/2022;International Culinary Arts Academic Network;Promote business student leadership;;
260;485;27/08/2023;1920;Powers, Bennett and Taylor;28/07/2023;World Fashion and Textile Studies Association;Support arts student collaboration;173;over
414;295;20/05/2025;3244;Wade Group;2/5/2025;International Design Innovation Council;Enhance music student development;4;third
141;88;30/04/2025;2274;Ochoa LLC;30/12/2021;Global Creative Industries Academic Forum;Promote theatre and performance education;158;up
141;88;30/04/2025;2274;Ochoa LLC;30/12/2021;Global Creative Industries Academic Forum;Promote theatre and performance education;188;child
185;115;25/01/2022;2258;Collier, Collins and Peterson;12/1/2022;Global Oceanography Research Alliance;Support climate change mitigation research;;
325;825;11/9/2023;432;Nixon Inc;25/07/2023;International Performing Arts Scholars Network;Support film and media student initiatives;;
79;515;30/06/2025;608;Combs-Parker;4/1/2023;World Literature and Comparative Studies Forum;Advance architecture student training;;
302;2;6/1/2026;2172;Cabrera-Thomas;14/10/2025;International Musicology Association;Promote design student innovation;;
495;906;28/07/2025;1175;Foster Group;16/01/2023;International Translation and Interpretation Society;Support computing student development;;
415;489;11/2/2026;3069;Melendez-Hampton;12/1/2026;Global Library and Information Sciences Network;Advance robotics student research;19;result
201;855;2/1/2026;1053;Bean-Parker;21/12/2025;International Archival Studies Council;Promote mathematics student excellence;;
90;788;31/03/2023;1769;Page PLC;25/01/2023;World Museum and Heritage Studies Association;Support physics student collaboration;14;whether
90;788;13/04/2023;1769;Page PLC;25/01/2023;World Museum and Heritage Studies Association;Support physics student collaboration;75;within
122;317;10/9/2023;2118;Smith-Franklin;28/04/2022;International Theology and Religious Studies Forum;Advance chemistry student research;;
251;616;23/10/2024;2914;Hall, Shepard and Gibson;13/09/2024;Global Interfaith Academic Network;Promote biology student development;;
101;501;9/7/2022;3577;Gilbert PLC;11/5/2022;International Ethics and Moral Philosophy Council;Support environmental student initiatives;;
364;957;1/4/2024;4416;Smith-Nelson;16/03/2024;World Cognitive Science Research Alliance;Advance sustainability student leadership;;
127;264;9/10/2023;3967;May, Valdez and Martinez;31/08/2022;International Behavioral Science Society;Advance scientific innovation across member institutions;187;peace
312;873;18/02/2024;126;Bishop Inc;24/12/2023;Global Artificial Life Research Network;Support open educational resources;;
336;177;2/11/2024;2972;Williams-Carter;22/05/2024;International Biomedical Informatics Council;Promote public health student engagement;;
411;692;21/03/2022;4345;Kennedy, Chavez and Welch;20/03/2022;World Computational Biology Consortium;Support psychology student development;178;answer
254;668;24/08/2023;3770;Nichols, Mills and James;26/02/2023;International Marine Biology Scholars Network;Facilitate cross?border faculty collaboration;;
103;657;2/6/2025;697;Cross, Miles and Thornton;28/02/2024;Global Ecology and Conservation Forum;Advance sociology student research;;
446;164;4/4/2023;4255;Henry-Harrington;23/02/2021;International Atmospheric Science Association;Promote responsible data governance;150;night
311;161;9/3/2025;581;Harris-Solis;17/02/2025;World Ocean Engineering Research Network;Promote anthropology student collaboration;2;executive
368;513;14/10/2023;3437;Norton-Blankenship;29/08/2023;International Film and Visual Arts Society;Enhance executive education programs;;
47;351;25/04/2024;1177;Lewis, Dean and Mccall;18/02/2024;International Aquaculture Studies Council;Strengthen academic integrity standards;;
337;966;25/01/2026;1180;Cervantes-Singleton;13/05/2023;International Genetics Scholars Network;Promote future?of?work studies;;
210;576;7/1/2024;4317;Jones and Sons;11/12/2023;Global Fisheries Science Academic Forum;Promote renewable energy education;140;management
147;523;24/01/2024;2857;Thomas Ltd;22/08/2023;International Agricultural Economics Society;Support multilingual learning environments;;
272;260;21/02/2022;4149;Smith Ltd;8/1/2022;World Rural Development Research Network;Support political science student initiatives;177;price
169;598;28/05/2022;2614;Harris-Malone;21/05/2022;International Food Science and Nutrition Council;Advance economics student research;71;major
236;719;28/08/2025;4294;Lewis PLC;30/06/2025;International Economics and Finance Council;Promote history student scholarship;;
441;171;25/06/2024;1452;Carpenter, Lester and Hanson;16/05/2024;International Environmental Policy Forum;Promote sustainable urban development research;;
405;457;1/2/2025;2352;Delgado-Hammond;24/04/2024;Global Sustainable Agriculture Alliance;Support philosophy student development;;
17;108;8/12/2023;4523;Jones-Ford;26/09/2023;International Soil Science Research Group;Advance literature student research;194;base
226;483;10/11/2025;524;Phillips, Curtis and Osborne;11/8/2023;World Plant Biology Academic Network;Promote linguistics student collaboration;;
179;689;9/1/2023;2569;Dunn Ltd;18/12/2021;International Microbiology Scholars Forum;Support communication student development;;
167;336;19/02/2023;2392;Blackwell, Baker and Morgan;31/01/2022;North American Scholarly Association;Advance journalism student training;;
147;800;27/09/2023;3018;Thomas Ltd;22/08/2023;Global Immunology Research Consortium;Promote media studies research;;
278;371;8/7/2024;2620;Mccoy-Hale;14/04/2024;International Planetary Science Forum;Support mental health research;;
113;892;10/2/2026;623;Torres-Washington;2/1/2022;International Pathology Academic Council;Support education student development;;
268;132;20/01/2025;2959;Luna Group;11/1/2025;World Pharmacology and Therapeutics Network;Advance social work student training;77;record
241;295;22/06/2025;2894;Wright, Williams and Powers;26/05/2025;International Design Innovation Council;Enhance music student development;;
204;817;4/8/2022;4985;Green-Warren;3/7/2022;International Nursing Research Association;Promote nursing student excellence;;
311;151;12/6/2025;1101;Harris-Solis;17/02/2025;International Disaster Management Council;Support engineering ethics education;2;executive
407;238;21/12/2023;788;Castillo-Montgomery;22/10/2023;Global Medical Education Scholars Forum;Advance AI student research;;
135;243;26/05/2022;2300;Miller, Powers and Stewart;13/04/2022;Global STEM Advancement Association;Improve diversity and inclusion in academia;64;world
36;461;7/6/2024;4633;Davis and Sons;1/6/2024;International Dentistry Academic Network;Promote data science student development;;
404;187;4/1/2026;2626;Mcclure Group;14/12/2025;World Optometry and Vision Science Council;Support cybersecurity student training;;
312;644;25/03/2024;799;Bishop Inc;24/12/2023;International Physical Therapy Research Group;Advance software development education;;
373;525;4/2/2025;756;Stevenson, Nelson and Butler;20/06/2021;Global Occupational Therapy Academic Forum;Promote game development student initiatives;24;pick
429;49;2/3/2025;360;Mckee-Rodriguez;2/2/2025;International Speech and Hearing Sciences Society;Support animation student development;117;experience
227;917;19/04/2024;2052;Barton, Walker and Branch;2/8/2023;World Health Sciences Academic Network;Support climate change mitigation research;;
445;799;19/04/2025;1771;Ball-Hill;17/07/2022;International Sports Science Federation;Promote literacy development initiatives;;
455;600;3/2/2023;4271;Fuentes-Dominguez;4/1/2023;World Kinesiology and Movement Studies Network;Advance fashion student creativity;193;success
37;436;18/07/2025;1667;Summers-Wilson;31/05/2025;International Academic Collaboration Network;Support international research partnerships;99;may
14;144;26/12/2025;3955;Diaz-Perry;19/02/2023;International Sports Medicine Council;Advance employability research;;
434;301;23/12/2024;2476;Alvarez-Schaefer;20/02/2022;Global Athletic Performance Research Alliance;Promote culinary arts student training;110;think
391;509;12/4/2026;1995;Jackson-Valdez;13/01/2026;International Criminology Scholars Network;Support AI ethics research;23;case
306;565;30/05/2021;4725;Boyd, Peterson and Zuniga;18/04/2021;World Cognitive Science Research Alliance;Support hospitality student development;;
252;188;10/6/2023;4762;Simpson, Vaughan and Mcdonald;29/01/2023;World Forensic Science Academic Forum;Advance tourism student research;181;along
251;196;18/09/2024;137;Hall, Shepard and Gibson;13/09/2024;International Security Studies Council;Promote sports management student leadership;;
236;152;10/9/2025;4197;Lewis PLC;30/06/2025;Global Intelligence and Strategic Studies Network;Support athletic performance research;;
352;458;6/6/2024;1274;Romero Inc;18/02/2022;International Military History Research Group;Advance criminology research initiatives;196;law
115;958;29/06/2021;2657;Fowler, Vance and Nelson;29/05/2021;International Transportation Policy Forum;Promote forensic science collaboration;;
34;110;2/5/2025;2643;Jones Group;11/2/2025;World Statistics and Data Analysis Forum;Enhance scholarly communication practices;;
308;91;14/04/2023;2406;Smith-Miller;2/4/2023;World Peacekeeping and Diplomacy Forum;Support security studies research;180;summer
297;136;15/01/2025;4766;Santos, Singh and Harrell;14/12/2024;International Public Administration Society;Advance intelligence and strategic studies;;
277;532;9/5/2022;906;Scott-Herrera;8/2/2022;Global Governance and Policy Research Network;Enhance global public health preparedness;;
334;266;2/1/2026;170;Hogan LLC;20/11/2022;International Development Studies Council;Promote military history research;;
155;710;31/07/2024;2018;Richardson Group;20/07/2024;World Poverty Reduction Academic Forum;Support peacekeeping research initiatives;;
135;267;27/06/2022;102;Miller, Powers and Stewart;13/04/2022;International Marine Studies Consortium;Develop global service?learning programs;64;world
239;224;19/09/2024;3780;Bailey, Sanchez and Peters;25/05/2024;International Social Work Scholars Network;Advance public administration research;;
328;201;21/09/2023;3824;Murphy-Bennett;17/05/2023;International Ethics and Moral Philosophy Council;Promote governance and policy studies;;
229;121;24/10/2023;393;Gonzales-Wheeler;4/1/2023;Global Anthropology Research Collective;Promote gifted education initiatives;9;nor
394;722;18/10/2023;840;Johnson and Sons;5/10/2023;Global Community Development Research Alliance;Support development studies research;200;there
344;125;23/09/2023;4716;Parker and Sons;21/12/2021;International Psychology Scholars Council;Advance poverty reduction initiatives;91;address
431;866;6/1/2026;2570;Krause-Gray;9/3/2025;World Counseling and Mental Health Forum;Promote community development research;;
322;43;3/4/2025;3005;Guerrero, Johnson and Miller;8/1/2025;International Cognitive Neuroscience Society;Promote sustainable urban development research;;
235;915;22/09/2025;2086;Berry and Sons;29/10/2022;North American Scholarly Association;Strengthen higher education quality standards;38;professional
240;325;4/1/2022;796;Alvarez LLC;21/11/2021;International Planetary Science Forum;Promote media studies research;;
402;269;18/11/2024;2933;Lopez LLC;4/7/2023;Global Brain Research Academic Network;Support counseling and mental health education;7;far
45;364;19/07/2025;3338;Hutchinson Inc;12/1/2024;International AI Ethics Council;Support animation student development;;
219;908;7/11/2023;3800;Clark Ltd;6/11/2023;World Cognitive Science Research Alliance;Advance cognitive neuroscience research;162;growth
2;360;6/10/2023;3373;Murphy-Fitzgerald;22/08/2023;International Demography Research Association;Advance research administration practices;;
250;221;25/07/2023;500;Green and Sons;27/11/2021;World Machine Learning Research Alliance;Enhance academic competition opportunities;;
46;344;31/12/2022;3195;Martinez, Gonzalez and Shannon;7/11/2022;International Software Engineering Society;Promote brain research collaboration;;
474;902;17/02/2025;2185;Lewis and Sons;14/02/2025;Global Computer Systems Research Network;Support AI governance research;;
398;828;17/09/2022;941;Rogers and Sons;5/7/2022;International Nursing Research Association;Advance machine learning research;;
70;511;5/11/2021;2621;Clark, Blake and Miller;31/10/2021;International Information Technology Council;Promote software engineering innovation;;
327;493;5/8/2023;1576;Dean, Rivers and Palmer;24/06/2023;World Cyber Policy Academic Forum;Support IT governance initiatives;122;so
139;730;8/8/2024;870;Williams, Rivera and Davidson;24/02/2021;International Blockchain Research Group;Advance cybersecurity policy research;;
475;666;10/5/2025;3453;Ramos, Lopez and Yates;28/04/2025;International Society for Applied Sciences;Promote blockchain research collaboration;;
106;820;4/6/2025;3912;Stewart Ltd;2/4/2025;Global FinTech Academic Network;Support physics student collaboration;50;prepare
56;365;26/08/2025;3182;Lopez, Davis and Gonzalez;1/8/2025;International Accounting Scholars Council;Support fintech research initiatives;;
234;245;9/9/2024;2247;Hansen PLC;16/04/2023;World Auditing and Compliance Forum;Improve diversity and inclusion in academia;98;machine
262;457;23/04/2023;4975;Wise PLC;8/6/2022;Global Sustainable Agriculture Alliance;Support philosophy student development;;
431;24;27/08/2025;1165;Krause-Gray;9/3/2025;International Business Management Society;Advance accounting research;;
405;427;24/06/2024;4994;Delgado-Hammond;24/04/2024;Global Entrepreneurship Research Alliance;Support open?science policy development;;
398;965;1/7/2025;4243;Rogers and Sons;5/7/2022;International Marketing Scholars Network;Promote auditing and compliance education;;
359;588;22/07/2021;4447;Yoder-Price;16/07/2021;World Consumer Behavior Academic Forum;Support business management research;15;own
292;240;26/11/2023;3200;Montgomery Group;9/10/2023;World Logistics and Mobility Studies Network;Promote engineering student development;;
177;245;30/03/2021;3605;Huff Inc;22/02/2021;World Auditing and Compliance Forum;Improve diversity and inclusion in academia;;
373;470;9/6/2024;4128;Stevenson, Nelson and Butler;20/06/2021;International Retail Studies Council;Advance entrepreneurship research;24;pick
185;747;20/11/2022;1171;Collier, Collins and Peterson;12/1/2022;Global Supply Chain Optimization Network;Enhance global public health preparedness;;
118;345;16/08/2023;1695;Baird, Carter and Thompson;28/06/2023;International Operations Research Society;Promote marketing research collaboration;101;similar
118;345;15/08/2023;1695;Baird, Carter and Thompson;28/06/2023;International Operations Research Society;Promote marketing research collaboration;163;issue
50;114;4/11/2021;2499;Trevino, Pena and Carlson;10/9/2021;World Quality Management Academic Forum;Advance neuroscience research initiatives;;
182;883;12/9/2023;4531;Garcia and Sons;5/8/2023;International Economics and Finance Council;Strengthen academic integrity standards;90;find
222;316;18/08/2021;1494;Harrison-Hayes;16/08/2021;International Project Management Council;Support consumer behavior studies;192;girl
378;622;31/07/2023;1439;Velazquez, Wallace and Johnson;6/5/2023;Global Human Resources Research Network;Advance retail studies research;;
210;879;28/03/2024;849;Jones and Sons;11/12/2023;International Organizational Behavior Society;Support multilingual education initiatives;140;management
367;338;23/09/2024;2519;Cook, Fletcher and Parker;21/04/2022;World Leadership Studies Academic Forum;Support philosophy student development;;
14;526;2/4/2024;1277;Diaz-Perry;19/02/2023;World Renewable Energy Academic Network;Advance women’s leadership in academia;;
183;562;8/1/2026;389;Ramos, Meadows and Butler;12/6/2021;International Labor Economics Council;Promote supply chain optimization research;125;crime
